ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
8E2B2A921BDF8324,electric_bike,42:45.5,57:04.4,1 Ave & E 6 St,5626.15,W 20 St & 10 Ave,6306.01,40.72633086,-73.9861688,40.745686,-74.005141,casual
5D4AEFFB726FC22D,classic_bike,34:18.9,58:02.3,West Drive & Prospect Park West,3651.04,West Drive & Prospect Park West,3651.04,40.66106337,-73.97945255,40.66106337,-73.97945255,member
904240ACE06C7A49,electric_bike,58:46.4,12:05.5,West Drive & Prospect Park West,3651.04,West Drive & Prospect Park West,3651.04,40.66106337,-73.97945255,40.66106337,-73.97945255,member
DA2F139CC6D79128,electric_bike,11:37.4,16:47.7,1 Ave & E 6 St,5626.15,Lafayette St & E 8 St,5788.13,40.72633086,-73.9861688,40.73020661,-73.99102628,member
4EC8AA20F04287B2,classic_bike,10:40.7,16:38.3,1 Ave & E 6 St,5626.15,E 22 St & 2 Ave,5971.09,40.72633086,-73.9861688,40.73716919,-73.98122549,member
9E0FFABA3927ACD4,classic_bike,52:06.0,00:04.8,E 22 St & 2 Ave,5971.09,1 Ave & E 6 St,5626.15,40.73716919,-73.98122549,40.72633086,-73.9861688,member
59F3028578D76BD0,classic_bike,00:54.8,20:07.6,E 22 St & 2 Ave,5971.09,Market St & Henry St,5270.09,40.73716919,-73.98122549,40.71310702,-73.99446353,member
E24B1086763D172A,classic_bike,38:34.3,54:43.1,Market St & Henry St,5270.09,E 22 St & 2 Ave,5971.09,40.71310702,-73.99446353,40.73716919,-73.98122549,member
A062DFEBF2E37CDD,classic_bike,39:23.7,47:18.4,Christopher St & Greenwich St,5847.01,Lafayette St & E 8 St,5788.13,40.73291553,-74.00711384,40.73020661,-73.99102628,member
CD005E989C1A3942,electric_bike,17:45.6,22:39.9,E 20 St & FDR Dr,5886.13,E 20 St & FDR Dr,5886.13,40.73320863,-73.97568136,40.73320863,-73.97568136,member
E93182B56A9194F3,electric_bike,30:32.3,35:48.3,E 20 St & FDR Dr,5886.13,E 20 St & FDR Dr,5886.13,40.73320863,-73.97568136,40.73320863,-73.97568136,member
B3F3AAEFB7097972,electric_bike,43:45.9,49:33.9,Laight St & Hudson St,5539.06,Christopher St & Greenwich St,5847.01,40.72185379,-74.00771779,40.73291553,-74.00711384,member
BF4F42BAFBA14295,classic_bike,00:13.3,08:38.6,E 4 St & Ave B,5515.08,E 4 St & Ave B,5515.08,40.72334683,-73.98265913,40.72334683,-73.98265913,member
71CBBDE469AB5512,classic_bike,45:16.1,33:27.9,E 22 St & 2 Ave,5971.09,E 22 St & 2 Ave,5971.09,40.73716919,-73.98122549,40.73716919,-73.98122549,member
EFAB0F1D22645A79,electric_bike,32:36.1,37:01.3,E 4 St & Ave B,5515.08,Lafayette St & E 8 St,5788.13,40.72334683,-73.98265913,40.73020661,-73.99102628,member
4E3AC0CA65C159FF,classic_bike,58:13.8,02:51.3,E 22 St & 2 Ave,5971.09,E 20 St & FDR Dr,5886.13,40.73716919,-73.98122549,40.73320863,-73.97568136,member
C4282849206E3FF4,electric_bike,45:35.7,04:14.5,E 39 St & Lexington Ave,6389.09,E 39 St & Lexington Ave,6389.09,40.74949855,-73.97729203,40.74949855,-73.97729203,member
8EC673E1ECDFCA6C,electric_bike,59:36.5,11:14.8,5 Ave & 3 St,3987.06,West Drive & Prospect Park West,3651.04,40.6728155,-73.98352355,40.66106337,-73.97945255,member
AAD5D1F2546F4F4E,electric_bike,16:21.6,21:18.2,Halsey St & Tompkins Ave,4319.07,Halsey St & Tompkins Ave,4319.07,40.6823687,-73.944118,40.6823687,-73.944118,member
EC7BE192BBBC5766,classic_bike,26:20.9,30:48.4,W 47 St & 9 Ave,6786.02,6 Ave & W 45 St,6593.15,40.76153045,-73.99007007,40.756951,-73.982631,member
F568ACC1311AD3D2,electric_bike,51:15.3,55:34.0,1 Ave & E 6 St,5626.15,E 22 St & 2 Ave,5971.09,40.72633086,-73.9861688,40.73716919,-73.98122549,member
A18C243DAA9A2FA5,electric_bike,57:36.2,08:22.7,E 39 St & Lexington Ave,6389.09,E 26 St & 3 Ave,6089.11,40.74949855,-73.97729203,40.74069318,-73.98160636,member
28C322CA4AB7C8EE,classic_bike,25:13.3,30:21.9,1 Ave & E 6 St,5626.15,Lafayette St & E 8 St,5788.13,40.72633086,-73.9861688,40.73020661,-73.99102628,member
26DD425F4FAD8D01,electric_bike,06:54.6,31:40.2,E 39 St & Lexington Ave,6389.09,E 39 St & Lexington Ave,6389.09,40.74949855,-73.97729203,40.74949855,-73.97729203,member
4BC5B029A1E89176,classic_bike,11:58.8,34:22.0,Lafayette St & E 8 St,5788.13,E 26 St & 3 Ave,6089.11,40.73020661,-73.99102628,40.74069318,-73.98160636,member
F12F9BD4273FAD43,classic_bike,02:03.2,12:43.2,1 Ave & E 6 St,5626.15,E 20 St & FDR Dr,5886.13,40.72633086,-73.9861688,40.73320863,-73.97568136,member
587508D21C324B09,electric_bike,35:56.4,43:40.2,E 20 St & FDR Dr,5886.13,E 39 St & Lexington Ave,6389.09,40.73320863,-73.97568136,40.74949855,-73.97729203,member
083CBB661F581000,electric_bike,36:29.4,45:24.3,Lafayette St & E 8 St,5788.13,Market St & Henry St,5270.09,40.73020661,-73.99102628,40.71310702,-73.99446353,member
01C8FDF82C78EBB5,electric_bike,51:43.3,01:17.5,Lafayette St & E 8 St,5788.13,Market St & Henry St,5270.09,40.73020661,-73.99102628,40.71310702,-73.99446353,member
4B9F57FBB8F2C118,classic_bike,30:33.8,34:56.7,E 20 St & FDR Dr,5886.13,E 22 St & 2 Ave,5971.09,40.73320863,-73.97568136,40.73716919,-73.98122549,member
47052CC5274F9409,classic_bike,39:06.1,51:58.0,E 48 St & 3 Ave,6541.03,W 47 St & 9 Ave,6786.02,40.7546011,-73.97187886,40.76153045,-73.99007007,member
B5D2C0C222418EE1,classic_bike,16:40.9,21:49.0,E 22 St & 2 Ave,5971.09,Lafayette St & E 8 St,5788.13,40.73716919,-73.98122549,40.73020661,-73.99102628,member
